"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.7.92",43708,"172.26.211.223",6003,356,303171,206,292975,150,10196,83.72765856,6.055164542,387074.5350919648,13470.814778727445
"192.168.7.92",43710,"172.26.211.223",6003,36,3401,18,1960,18,1441,90.559201311,7.893863035999999,1986.3531870886645,1460.374970711615
"192.168.7.92",43712,"172.26.211.223",6003,377,317947,217,307463,160,10484,90.696385491,7.755763510999998,317145.3070366834,10814.151292911956
"192.168.7.92",43714,"172.26.211.223",6003,39,3568,20,2047,19,1521,98.477055246,6.743527063999991,2428.4027993929944,1804.3969994512674
"192.168.7.92",43716,"172.26.211.223",6003,503,414871,281,399739,222,15132,98.58046311,6.616014657999997,483359.26767228777,18297.420162698807
"192.168.7.92",43718,"172.26.211.223",6003,32,2321,16,1216,16,1105,105.241682906,7.46046101200001,1303.940866972255,1184.9133700693599
"192.168.7.92",43720,"172.26.211.223",6003,403,343109,234,331977,169,11132,105.333646793,7.895850914999997,336355.89483518014,11278.835043708526
"192.168.7.92",43722,"172.26.211.223",6003,18,1386,9,760,9,626,112.914304012,5.588176770999993,1088.011394262318,896.1778063265933
"192.168.7.92",43724,"172.26.211.223",6003,42,3751,23,2242,19,1509,118.577914292,7.746617512,2315.3331079294935,1558.3575646144538
"192.168.7.92",43726,"172.26.211.223",6003,342,289227,197,278623,145,10604,118.708294971,7.5264515450000005,296153.37143580854,11271.181312042845
"192.168.7.92",43728,"172.26.211.223",6003,33,2372,16,1236,17,1136,130.683570519,4.632146946999995,2134.647305695678,1961.9412130018527
"192.168.7.92",43730,"172.26.211.223",6003,221,195943,134,189151,87,6792,130.853258387,5.1516832479999835,293730.7918897123,10547.232309186447
"192.168.7.92",43732,"172.26.211.223",6003,25,1876,13,1032,12,844,134.090371463,7.239441735000014,1140.4194276590838,932.6686016901808
"192.168.7.92",43734,"172.26.211.223",6003,255,232573,159,225201,96,7372,136.104831605,11.655118471000009,154576.54973501287,5060.0944251869
